row_type,model,dataset,plane,n_qubits,eval_split,trial,seed,epoch,train_loss,train_acc,test_loss,test_acc,test_macro_f1,test_balanced_acc,precision,recall,f1,macro_f1,balanced_acc,sensitivity,specificity,auc,tn,fp,fn,tp,lr
epoch,classical,oasis-2,coronal,2,original,3,44,6,0.5871200449764729,0.7578125,0.5602079592645168,0.671875,0.6322845417236662,0.671875,,,,,,,,,,,,,0.001
epoch,classical,oasis-2,coronal,2,original,3,44,7,0.5531370658427477,0.7734375,0.5095989312976599,0.890625,0.8893007165801828,0.890625,,,,,,,,,,,,,0.001
epoch,classical,oasis-2,coronal,2,original,3,44,8,0.4742153147235513,0.890625,0.4604098815470934,0.921875,0.9213952345860967,0.921875,,,,,,,,,,,,,0.001
epoch,classical,oasis-2,coronal,2,original,3,44,9,0.4286561831831932,0.8984375,0.4344173017889261,0.953125,0.9530217763640811,0.953125,,,,,,,,,,,,,0.001
epoch,classical,oasis-2,coronal,2,original,3,44,10,0.3993865866214037,0.8984375,0.41780799347907305,0.9375,0.9375,0.9375,,,,,,,,,,,,,0.001
final,classical,oasis-2,coronal,2,original,3,44,10,0.3993865866214037,0.8984375,0.41780799347907305,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.98046875,30,2,2,30,0.001
final,classical,oasis-2,coronal,2,balanced,3,44,10,0.3993865866214037,0.8984375,0.41780799347907305,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.98046875,30,2,2,30,0.001
summary,classical_mean,oasis-2,coronal,2,original,,,,0.3528593440229694,0.8828125,0.37037629494443536,0.9010416666666666,,,0.8888517528223411,0.9166666666666666,0.9023989898989898,0.9010149498052723,0.9010416666666666,0.9166666666666666,0.8854166666666666,0.9401041666666666,28.333333333333332,3.6666666666666665,2.6666666666666665,29.333333333333332,
summary,classical_std,oasis-2,coronal,2,original,,,,0.19365245829456912,0.08365822085525526,0.18727363371877642,0.07475364632503814,,,0.07141444226539222,0.07795119555779044,0.0735904253902049,0.074767465150831,0.07475364632503814,0.07795119555779044,0.0736569563735987,0.06915613301048873,2.3570226039551585,2.3570226039551585,2.494438257849294,2.494438257849294,
summary,classical_mean,oasis-2,coronal,2,balanced,,,,0.3528593440229694,0.8828125,0.37037629494443536,0.9010416666666666,,,0.8888517528223411,0.9166666666666666,0.9023989898989898,0.9010149498052723,0.9010416666666666,0.9166666666666666,0.8854166666666666,0.9401041666666666,28.333333333333332,3.6666666666666665,2.6666666666666665,29.333333333333332,
summary,classical_std,oasis-2,coronal,2,balanced,,,,0.19365245829456912,0.08365822085525526,0.18727363371877642,0.07475364632503814,,,0.07141444226539222,0.07795119555779044,0.0735904253902049,0.074767465150831,0.07475364632503814,0.07795119555779044,0.0736569563735987,0.06915613301048873,2.3570226039551585,2.3570226039551585,2.494438257849294,2.494438257849294,
