row_type,model,dataset,plane,n_qubits,eval_split,trial,seed,epoch,train_loss,train_acc,test_loss,test_acc,test_macro_f1,test_balanced_acc,precision,recall,f1,macro_f1,balanced_acc,sensitivity,specificity,auc,tn,fp,fn,tp,lr,convergence_status,failure_count,success_count,failure_rate,failure_macro_f1_threshold,failure_balanced_acc_threshold
epoch,hybrid,oasis-2,coronal,2,original,1,42,1,1.4036150500178337,0.5,1.2909301910549402,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.002,,,,,0.4,0.55
epoch,hybrid,oasis-2,coronal,2,original,1,42,2,1.2744674608111382,0.5,1.1930988254025578,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.002,,,,,0.4,0.55
epoch,hybrid,oasis-2,coronal,2,original,1,42,3,1.203244648873806,0.5,1.0983674610033631,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.002,,,,,0.4,0.55
epoch,hybrid,oasis-2,coronal,2,original,1,42,4,1.108114667236805,0.5,1.051621701568365,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.002,,,,,0.4,0.55
epoch,hybrid,oasis-2,coronal,2,original,1,42,5,1.0663233445957303,0.5,1.0053921155631542,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.002,,,,,0.4,0.55
epoch,hybrid,oasis-2,coronal,2,original,1,42,6,1.0040480457246304,0.5,0.9695025384426117,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.002,,,,,0.4,0.55
epoch,hybrid,oasis-2,coronal,2,original,1,42,7,0.9522935170680285,0.5,0.9154282733798027,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.002,,,,,0.4,0.55
epoch,hybrid,oasis-2,coronal,2,original,1,42,8,0.9046199694275856,0.5,0.8774281200021505,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.002,,,,,0.4,0.55
epoch,hybrid,oasis-2,coronal,2,original,1,42,9,0.8655353784561157,0.5,0.8414098843932152,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.002,,,,,0.4,0.55
epoch,hybrid,oasis-2,coronal,2,original,1,42,10,0.8295600190758705,0.5,0.8107736576348543,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.002,,,,,0.4,0.55
