model,dataset,plane,n_qubits,trial,seed,epoch,train_loss,train_acc,test_loss,test_acc,test_macro_f1,test_balanced_acc,qnn_grad_norm,qnn_weight_update_norm,fc2_grad_norm,fc2_weight_update_norm,fc3_grad_norm,fc3_weight_update_norm,convergence_status,failure_macro_f1_threshold,failure_balanced_acc_threshold
hybrid,oasis-2,coronal,2,1,42,1,1.469140812754631,0.5,1.2255453569814563,0.5,0.3333333333333333,0.5,0.17466369550675154,0.001883290613477584,1.0628536213497433,0.002428491634325082,0.974860952991762,0.0012527340614425083,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,2,1.3533132821321487,0.5,1.4260805691592395,0.5,0.3333333333333333,0.5,0.1261111896019429,0.0011390577747079078,1.0407383667069077,0.0009170834671739185,0.8875984897981053,0.0009487912874215122,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,3,1.3389471992850304,0.5,1.3442143760621548,0.5,0.3333333333333333,0.5,0.13197763566859066,0.0004443689358595293,1.6403882297622814,0.0006395986493019258,0.8755977699622025,0.0009847919423971627,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,4,1.2909557074308395,0.5,1.3438440044410527,0.5,0.3333333333333333,0.5,0.13864802941679955,0.0007377131187240593,1.2486559766844125,0.0006855262091066262,0.8827927834759155,0.0011038638406195276,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,5,1.2844108948484063,0.5,1.4080964839085937,0.5,0.3333333333333333,0.5,0.15631646272959188,0.000787816916272277,1.3944621278383442,0.0006438672710703925,0.8912414671691975,0.001124532627430673,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,6,1.267143089324236,0.5,1.4061117991805077,0.5,0.3333333333333333,0.5,0.14057106245309114,0.0007894842274254188,1.1651629724983492,0.0007209678308717602,0.8660116684452062,0.0011527118528927567,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,7,1.2512513026595116,0.5,1.258287106640637,0.5,0.3333333333333333,0.5,0.1533434895100072,0.000971010398643557,1.4790589570978852,0.0011982981791888098,0.8585504499964487,0.0011268761139145906,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,8,1.204507987946272,0.5,1.2113080420531332,0.5,0.3333333333333333,0.5,0.17884332360699773,0.0013222829002188519,1.545594807658043,0.00099159391214239,0.8702992805481584,0.001307900192486565,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,9,1.1703784242272377,0.5,1.1649916674941778,0.5,0.3333333333333333,0.5,0.20953425485640764,0.0012679019346251152,1.7417988759737835,0.0007960370524581099,0.8705804692288059,0.001369062314529059,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,10,1.190871685743332,0.5,1.1321291327476501,0.5,0.3333333333333333,0.5,0.1954833222553134,0.0011184771574335173,2.282958761087894,0.0008919711113213773,0.846866731973775,0.0011338446343657602,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,2,43,1,0.8550730235874653,0.5,0.8301137574017048,0.5,0.3333333333333333,0.5,0.1979506459319964,0.00145073673047591,1.3114892751599214,0.0015199828668857615,0.650792183583664,0.0011940569478203205,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,2,43,2,0.8214366212487221,0.5,0.8050663135945797,0.5,0.3333333333333333,0.5,0.20104911806993186,0.001499678852269426,0.5656490425204633,0.0005142832615605451,0.6562911806401518,0.0011920697059825747,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,2,43,3,0.8091554120182991,0.5,0.7914946228265762,0.5,0.3333333333333333,0.5,0.1612172112800181,0.001417910898453556,0.7607433117625302,0.000619075830767964,0.589660913475675,0.0011618884060875102,stuck,0.4,0.55
