model,dataset,plane,n_qubits,trial,seed,epoch,train_loss,train_acc,test_loss,test_acc,test_macro_f1,test_balanced_acc,qnn_grad_norm,qnn_weight_update_norm,fc2_grad_norm,fc2_weight_update_norm,fc3_grad_norm,fc3_weight_update_norm,convergence_status,failure_macro_f1_threshold,failure_balanced_acc_threshold
hybrid,oasis-2,coronal,2,1,42,1,1.5707107409834862,0.5,1.5101948222145438,0.5,0.3333333333333333,0.5,0.19690906256437302,0.0009661795702413656,0.671198628688136,0.0012351510281750533,1.0423666746885003,0.0006809852103586195,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,2,1.3627079650759697,0.5,1.1994462609291077,0.5,0.3333333333333333,0.5,0.15674076485447586,0.0008734060720598791,1.4095398674445196,0.0009879313150568667,0.89413370884149,0.0005304699968995325,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,3,1.2730395123362541,0.5,1.2099703615531325,0.5,0.3333333333333333,0.5,0.15103333664592355,0.0007931876498332713,0.8748570952597666,0.00039743520231831625,0.928163478016919,0.000541875823401281,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,4,1.236732266843319,0.5,1.1758716087788343,0.5,0.3333333333333333,0.5,0.1549249291419983,0.0008003499024198391,0.7681041564021142,0.0003569613601079527,0.9441468855975721,0.0006471244959923839,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,5,1.2153668166138232,0.5,1.1909487983211875,0.5,0.3333333333333333,0.5,0.170896123861894,0.0008322879584738985,0.7348097695388456,0.00029558172268541363,0.980536379290519,0.0006529743720856197,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,6,1.2441122122108936,0.5,1.1546797957271338,0.5,0.3333333333333333,0.5,0.15503723686560988,0.0008294098406622652,0.9381743655055594,0.00044328133690250634,0.9103465166544602,0.0006476454044674777,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,7,1.2292222250252962,0.5,1.1425882205367088,0.5,0.3333333333333333,0.5,0.14589200110640377,0.0008152916816470679,1.0556820739143642,0.0004678880508318566,0.9148347473108571,0.0006100487922991002,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,8,1.192480143159628,0.5,1.1675743367522955,0.5,0.3333333333333333,0.5,0.17408292274922132,0.0008883187765604816,0.9203679265520568,0.0004900849670844759,0.9344426448446967,0.0006638744258135973,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,9,1.1676313765347004,0.5,1.1120926104485989,0.5,0.3333333333333333,0.5,0.15730921033537015,0.0008800670002528932,0.9575852305646467,0.0005177464325874953,0.949126486271998,0.0006744827077496698,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,1,42,10,1.1822061352431774,0.5,1.1032203063368797,0.5,0.3333333333333333,0.5,0.16226759157143533,0.0008045954564295243,1.0903864105893752,0.0003788382934312888,0.9108391981906412,0.0006195151685166876,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,2,43,1,0.8715582266449928,0.5,0.8378202840685844,0.5,0.3333333333333333,0.5,0.18148112553171813,0.0007115202897693962,1.808735609896374,0.000885433119852103,0.6664489506649889,0.0006074748341685963,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,2,43,2,0.841408010572195,0.5,0.83546307310462,0.5,0.3333333333333333,0.5,0.20032687578350306,0.0007159559609135613,1.3602571969622839,0.0006126699971558859,0.673694646355373,0.0006054236321882951,stuck,0.4,0.55
hybrid,oasis-2,coronal,2,2,43,3,0.8287830464541912,0.5,0.8127764463424683,0.5,0.3333333333333333,0.5,0.19653594330884516,0.0007461455716111232,1.010850030540425,0.0006754812747471973,0.6162538977906844,0.0005985688761890682,stuck,0.4,0.55
